股票代码,公司简称,公告日期,要约类型,主值溢价率(%),交易规模(HKD)
06808,,2025-01-01,MGO,2.86,3236298104
01833,,2025-01-07,MGO,-4.23,6283022082
00195,,2025-01-14,PO,-63.43,28686000
01723,,2025-01-20,MGO,41.73,53518500
01920,,2025-01-23,MGO,-70.51,30010500
02440,,2025-01-24,MGO,19.17,59782684.4
01863,,2025-02-11,PO,-99.40,852612.5
03638,,2025-02-20,PO,-4.45,87475653
01102,,2025-02-27,MGO,-20.38,29787139
06877,,2025-03-10,MGO,1.82,102373241.9
08635,,2025-03-18,MGO,-47.37,15000000
01985,,2025-03-24,VGO,7.42,226554240
03626,,2025-03-30,MGO,187.40,65044000
01712,,2025-04-01,VGO,24.29,244681549.2
01943,,2025-04-02,MGO,-4.65,20000000
00372,,2025-04-16,VGO,-2.23,37544924.2
00768,,2025-04-23,MGO,7.14,22191966
01428,,2025-04-25,MGO,18.80,2752957490
00357,,2025-04-30,MGO,11.20,2503165060
06113,,2025-05-06,MGO,-71.30,62000000
01948,,2025-05-07,MGO,-32.40,114621220
00223,,2025-05-14,PO,-52.14,10080000
08035,,2025-06-13,MGO,3.63,16442760
01747,,2025-06-24,MGO,-25.87,81096400
02312,,2025-06-24,MGO,239.29,85741097.46
01137,,2025-06-30,MGO,-59.40,261975099
02350,,2025-07-03,MGO,-23.10,68254720
00080,,2025-07-17,MGO,51.43,68956229.49
06136,,2025-07-21,MGO,2.10,388400000
08232,,2025-07-22,MGO,23.10,25219765
08106,,2025-07-31,MGO,-18.78,15454710
03928,,2025-08-10,MGO,-68.25,74268000
00932,,2025-08-27,MGO,-22.58,38192626
01351,,2025-09-17,MGO,-34.38,69525557.75
00361,,2025-09-23,MGO,-24.00,67867250
08507,,2025-09-23,MGO,-13.13,15000000
08631,,2025-09-26,MGO,-55.81,2774343
01489,,2025-09-30,MGO,-54.90,49126944
08622,,2025-10-09,MGO,-68.26,32829552
00834,,2025-10-13,MGO,17.78,54388582.51
01757,,2025-10-13,MGO,-70.72,26700000
00643,,2025-10-24,MGO,-75.71,65026292
01432,,2025-10-30,MGO,7.75,2016320836
02623,,2025-11-04,MGO,-37.44,63746076.45
06182,,2025-11-06,MGO,-60.20,48750000
08208,,2025-11-13,MGO,-46.70,16813200
00167,,2025-11-19,MGO,,71800000
01980,,2025-11-19,MGO,2.10,469850000
08403,,2025-11-26,MGO,-66.86,40077750
03389,,2025-11-28,VGO,17.61,320581945
01732,,2025-12-01,PO,-11.76,77952000
02442,,2025-12-02,MGO,-77.80,76673400
09929,,2025-12-03,MGO,37.50,55000000
08413,,2025-12-10,PO,136.00,194867400
01959,,2025-12-16,MGO,-59.12,143428960
01348,,2025-12-18,MGO,-28.50,63377942
00228,,2025-12-23,MGO,13.69,391254723
03938,,2026-01-09,MGO,-52.64,118788430.05
01875,,2026-01-13,VGO,114.67,2790300000.00
09638,,2026-01-19,PO,27.20,1653370226.83
08031,,2026-01-21,MGO,13.58,23632500.00
01980,,2026-01-22,PO,2.94,22750000.00
06939,,2026-01-24,MGO,-12.90,111744375.00
01429,,2026-01-26,MGO,-8.70,38000000.00
01546,,2026-02-04,MGO,-44.23,41800000.00
08448,,2026-02-09,MGO,-18.60,12036336.90
02427,,2026-02-11,MGO,-59.50,62708856.25
08220,,2026-02-13,MGO,-92.45,19513385.00
02362,,2026-03-02,PO,-98.38,7000000.00
01716,,2026-03-06,MGO,-13.98,65800350.00
01940,,2026-03-13,MGO,-36.01,187800000.00
00784,,2026-04-14,MGO,-11.20,56966750.00
01953,,2026-04-22,MGO,-73.80,52605000.00
01796,,2026-04-27,PO,-86.90,5214000.00
08439,,2026-05-04,MGO,129.80,48180952.56
01451,,2026-05-05,MGO,-34.90,51197047.20
01780,,2026-05-15,MGO,-29.40,214760000.00
03336,,2026-05-18,VGO,-15.45,1905849908.60
02362,,2026-05-27,PO,-51.53,39000000.00
00195,,2026-05-29,PO,-34.21,55000000.00
01657,,2026-06-04,MGO,-70.21,66833690.00
01912,,2026-06-08,MGO,-6.17,69342421.80
